episode,car_wait_total,bike_wait_total,ped_wait_total,car_queue_total,bike_queue_total,reward_mean,reward_std,reward_min,reward_max,bike_wait_frac,ped_wait_frac,epsilon,mean_q,mean_loss,decisions,wall_seconds
37,11312615.5,95772996.5,2635251.5,131780.0,100043.0,-1.63869,2.07161,-3.0,3.0,0.8729,0.024,0.1332,1065187556587.1407,91900367624.00247,1080,75.1
38,12750947.0,153003729.0,2885852.0,139839.0,107655.0,-1.65219,2.16646,-3.0,3.0,0.9073,0.0171,0.1094,1366334114656.7112,106325085452.89482,1080,76.6
39,18262708.5,198258784.5,4334158.0,141666.0,109041.0,-1.60075,2.20637,-3.0,3.0,0.8977,0.0196,0.0857,1782230071523.5557,123902069965.14125,1080,80.3
40,20166049.0,150772915.0,3915979.0,144216.0,109511.0,-1.69668,2.14,-3.0,3.0,0.8623,0.0224,0.0619,2067810033967.4075,132870499849.59526,1080,82.0
41,20896356.0,170545893.5,4795812.5,143876.0,108866.0,-1.65416,2.183,-3.0,3.0,0.8691,0.0244,0.05,2313054214068.148,133927592752.20377,1080,79.7
42,19618468.0,200455889.5,4980483.0,144074.0,110753.0,-1.79791,2.17188,-3.0,3.0,0.8907,0.0221,0.05,2416645139236.03,135850459811.46077,1080,81.0
43,15293661.0,141614286.5,3848049.0,145417.0,112112.0,-1.65063,2.11504,-3.0,3.0,0.8809,0.0239,0.05,2455159450039.941,128928676671.86732,1080,82.3
44,19094543.5,169791036.5,4280997.0,143337.0,109862.0,-1.58696,2.28434,-3.0,3.0,0.879,0.0222,0.05,2292682084625.067,114305317515.15009,1080,81.8
45,16876996.0,155721766.0,5290892.0,143799.0,111980.0,-1.51692,2.18974,-3.0,3.0,0.8754,0.0297,0.05,2161022911313.5408,105942698205.41165,1080,80.9
46,28576087.5,187210385.5,5472077.0,146881.0,111237.0,-1.66773,2.16059,-3.0,3.0,0.8461,0.0247,0.05,1951077518298.074,93246513247.57333,1080,83.1
47,14752160.0,128570793.0,3016945.0,145564.0,112477.0,-1.50412,2.17646,-3.0,3.0,0.8786,0.0206,0.05,1701648882801.7778,83013685317.21487,1080,80.1
48,41466033.0,162681258.0,4741396.0,138150.0,104107.0,-1.5443,2.13452,-3.0,3.0,0.7788,0.0227,0.05,1431928233316.5037,68446217987.01509,1080,81.6
49,40537952.5,104250296.0,2823653.0,106355.0,75764.0,-1.4899,2.18985,-3.0,3.0,0.7062,0.0191,0.05,1170720834385.5408,54513245798.02076,1080,72.7
