5.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': 0}, {'J01': 0}, {'J01': 0}, 
15.0, {'J01': -2}, {'J01': 1}, {'J01': 2}, 
20.0, {'J01': -2}, {'J01': 1}, {'J01': 2}, 
25.0, {'J01': -4}, {'J01': 1}, {'J01': 4}, 
30.0, {'J01': -4}, {'J01': 1}, {'J01': 4}, 
35.0, {'J01': -9}, {'J01': 3}, {'J01': 9}, 
40.0, {'J01': -11}, {'J01': 4}, {'J01': 11}, 
45.0, {'J01': -15}, {'J01': 5}, {'J01': 15}, 
50.0, {'J01': -19}, {'J01': 4}, {'J01': 19}, 
55.0, {'J01': -16}, {'J01': 2}, {'J01': 16}, 
60.0, {'J01': -16}, {'J01': 3}, {'J01': 16}, 
65.0, {'J01': -11}, {'J01': 2}, {'J01': 11}, 
70.0, {'J01': -17}, {'J01': 2}, {'J01': 17}, 
75.0, {'J01': -27}, {'J01': 5}, {'J01': 27}, 
80.0, {'J01': -22}, {'J01': 4}, {'J01': 22}, 
85.0, {'J01': -19}, {'J01': 4}, {'J01': 19}, 
90.0, {'J01': -22}, {'J01': 3}, {'J01': 22}, 
95.0, {'J01': -28}, {'J01': 6}, {'J01': 28}, 
100.0, {'J01': -35}, {'J01': 8}, {'J01': 35}, 
105.0, {'J01': -36}, {'J01': 8}, {'J01': 36}, 
110.0, {'J01': -40}, {'J01': 8}, {'J01': 40}, 
115.0, {'J01': -34}, {'J01': 7}, {'J01': 34}, 
120.0, {'J01': -30}, {'J01': 5}, {'J01': 30}, 
125.0, {'J01': -23}, {'J01': 4}, {'J01': 23}, 
130.0, {'J01': -19}, {'J01': 4}, {'J01': 19}, 
135.0, {'J01': -22}, {'J01': 4}, {'J01': 22}, 
140.0, {'J01': -25}, {'J01': 4}, {'J01': 25}, 
145.0, {'J01': -24}, {'J01': 4}, {'J01': 24}, 
150.0, {'J01': -20}, {'J01': 5}, {'J01': 20}, 
155.0, {'J01': -19}, {'J01': 5}, {'J01': 19}, 
160.0, {'J01': -27}, {'J01': 6}, {'J01': 27}, 
165.0, {'J01': -36}, {'J01': 7}, {'J01': 36}, 
170.0, {'J01': -38}, {'J01': 8}, {'J01': 38}, 
175.0, {'J01': -39}, {'J01': 8}, {'J01': 39}, 
180.0, {'J01': -36}, {'J01': 7}, {'J01': 36}, 
185.0, {'J01': -39}, {'J01': 7}, {'J01': 39}, 
190.0, {'J01': -29}, {'J01': 7}, {'J01': 29}, 
195.0, {'J01': -30}, {'J01': 7}, {'J01': 30}, 
200.0, {'J01': -30}, {'J01': 6}, {'J01': 30}, 
205.0, {'J01': -38}, {'J01': 7}, {'J01': 38}, 
210.0, {'J01': -40}, {'J01': 8}, {'J01': 40}, 
215.0, {'J01': -41}, {'J01': 8}, {'J01': 41}, 
220.0, {'J01': -43}, {'J01': 8}, {'J01': 43}, 
225.0, {'J01': -36}, {'J01': 8}, {'J01': 36}, 
230.0, {'J01': -36}, {'J01': 8}, {'J01': 36}, 
235.0, {'J01': -35}, {'J01': 8}, {'J01': 35}, 
240.0, {'J01': -37}, {'J01': 8}, {'J01': 37}, 
245.0, {'J01': -32}, {'J01': 7}, {'J01': 32}, 
250.0, {'J01': -21}, {'J01': 4}, {'J01': 21}, 
255.0, {'J01': -16}, {'J01': 4}, {'J01': 16}, 
260.0, {'J01': -14}, {'J01': 4}, {'J01': 14}, 
265.0, {'J01': -16}, {'J01': 4}, {'J01': 16}, 
270.0, {'J01': -20}, {'J01': 4}, {'J01': 20}, 
275.0, {'J01': -21}, {'J01': 4}, {'J01': 21}, 
280.0, {'J01': -26}, {'J01': 6}, {'J01': 26}, 
285.0, {'J01': -24}, {'J01': 6}, {'J01': 24}, 
290.0, {'J01': -22}, {'J01': 4}, {'J01': 22}, 
295.0, {'J01': -21}, {'J01': 4}, {'J01': 21}, 
300.0, {'J01': -21}, {'J01': 4}, {'J01': 21}, 
305.0, {'J01': -23}, {'J01': 4}, {'J01': 23}, 
310.0, {'J01': -27}, {'J01': 6}, {'J01': 27}, 
315.0, {'J01': -27}, {'J01': 7}, {'J01': 27}, 
320.0, {'J01': -22}, {'J01': 5}, {'J01': 22}, 
325.0, {'J01': -18}, {'J01': 4}, {'J01': 18}, 
330.0, {'J01': -16}, {'J01': 4}, {'J01': 16}, 
335.0, {'J01': -18}, {'J01': 4}, {'J01': 18}, 
340.0, {'J01': -23}, {'J01': 4}, {'J01': 23}, 
345.0, {'J01': -27}, {'J01': 5}, {'J01': 27}, 
350.0, {'J01': -24}, {'J01': 4}, {'J01': 24}, 
355.0, {'J01': -21}, {'J01': 4}, {'J01': 21}, 
360.0, {'J01': -18}, {'J01': 4}, {'J01': 18}, 
365.0, {'J01': -17}, {'J01': 4}, {'J01': 17}, 
370.0, {'J01': -14}, {'J01': 2}, {'J01': 14}, 
375.0, {'J01': -18}, {'J01': 4}, {'J01': 18}, 
380.0, {'J01': -20}, {'J01': 4}, {'J01': 20}, 
385.0, {'J01': -21}, {'J01': 5}, {'J01': 21}, 
390.0, {'J01': -18}, {'J01': 4}, {'J01': 18}, 
395.0, {'J01': -16}, {'J01': 4}, {'J01': 16}, 
400.0, {'J01': -18}, {'J01': 4}, {'J01': 18}, 
405.0, {'J01': -16}, {'J01': 4}, {'J01': 16}, 
410.0, {'J01': -18}, {'J01': 4}, {'J01': 18}, 
415.0, {'J01': -20}, {'J01': 4}, {'J01': 20}, 
420.0, {'J01': -22}, {'J01': 5}, {'J01': 22}, 
425.0, {'J01': -32}, {'J01': 6}, {'J01': 32}, 
430.0, {'J01': -33}, {'J01': 5}, {'J01': 33}, 
435.0, {'J01': -26}, {'J01': 4}, {'J01': 26}, 
440.0, {'J01': -19}, {'J01': 4}, {'J01': 19}, 
445.0, {'J01': -17}, {'J01': 4}, {'J01': 17}, 
450.0, {'J01': -19}, {'J01': 4}, {'J01': 19}, 
455.0, {'J01': -22}, {'J01': 4}, {'J01': 22}, 
460.0, {'J01': -21}, {'J01': 3}, {'J01': 21}, 
465.0, {'J01': -25}, {'J01': 5}, {'J01': 25}, 
470.0, {'J01': -25}, {'J01': 4}, {'J01': 25}, 
475.0, {'J01': -20}, {'J01': 4}, {'J01': 20}, 
480.0, {'J01': -18}, {'J01': 4}, {'J01': 18}, 
485.0, {'J01': -19}, {'J01': 4}, {'J01': 19}, 
490.0, {'J01': -21}, {'J01': 4}, {'J01': 21}, 
495.0, {'J01': -26}, {'J01': 4}, {'J01': 26}, 
500.0, {'J01': -24}, {'J01': 4}, {'J01': 24}, 
505.0, {'J01': -16}, {'J01': 4}, {'J01': 16}, 
510.0, {'J01': -16}, {'J01': 4}, {'J01': 16}, 
515.0, {'J01': -15}, {'J01': 4}, {'J01': 15}, 
520.0, {'J01': -16}, {'J01': 4}, {'J01': 16}, 
525.0, {'J01': -22}, {'J01': 4}, {'J01': 22}, 
530.0, {'J01': -21}, {'J01': 4}, {'J01': 21}, 
535.0, {'J01': -20}, {'J01': 4}, {'J01': 20}, 
540.0, {'J01': -16}, {'J01': 4}, {'J01': 16}, 
545.0, {'J01': -16}, {'J01': 4}, {'J01': 16}, 
550.0, {'J01': -16}, {'J01': 3}, {'J01': 16}, 
555.0, {'J01': -21}, {'J01': 4}, {'J01': 21}, 
560.0, {'J01': -28}, {'J01': 5}, {'J01': 28}, 
565.0, {'J01': -30}, {'J01': 5}, {'J01': 30}, 
570.0, {'J01': -31}, {'J01': 6}, {'J01': 31}, 
575.0, {'J01': -28}, {'J01': 7}, {'J01': 28}, 
580.0, {'J01': -21}, {'J01': 4}, {'J01': 21}, 
585.0, {'J01': -17}, {'J01': 4}, {'J01': 17}, 
590.0, {'J01': -14}, {'J01': 4}, {'J01': 14}, 
595.0, {'J01': -15}, {'J01': 4}, {'J01': 15}, 
600.0, {'J01': -19}, {'J01': 4}, {'J01': 19}, 
605.0, {'J01': -25}, {'J01': 4}, {'J01': 25}, 
610.0, {'J01': -31}, {'J01': 5}, {'J01': 31}, 
615.0, {'J01': -27}, {'J01': 4}, {'J01': 27}, 
620.0, {'J01': -21}, {'J01': 4}, {'J01': 21}, 
625.0, {'J01': -19}, {'J01': 4}, {'J01': 19}, 
630.0, {'J01': -23}, {'J01': 5}, {'J01': 23}, 
635.0, {'J01': -20}, {'J01': 5}, {'J01': 20}, 
640.0, {'J01': -21}, {'J01': 5}, {'J01': 21}, 
645.0, {'J01': -30}, {'J01': 6}, {'J01': 30}, 
650.0, {'J01': -23}, {'J01': 6}, {'J01': 23}, 
655.0, {'J01': -22}, {'J01': 6}, {'J01': 22}, 
660.0, {'J01': -27}, {'J01': 6}, {'J01': 27}, 
665.0, {'J01': -29}, {'J01': 7}, {'J01': 29}, 
670.0, {'J01': -35}, {'J01': 7}, {'J01': 35}, 
675.0, {'J01': -31}, {'J01': 8}, {'J01': 31}, 
680.0, {'J01': -25}, {'J01': 8}, {'J01': 25}, 
685.0, {'J01': -26}, {'J01': 8}, {'J01': 26}, 
690.0, {'J01': -23}, {'J01': 8}, {'J01': 23}, 
695.0, {'J01': -22}, {'J01': 8}, {'J01': 22}, 
700.0, {'J01': -22}, {'J01': 6}, {'J01': 22}, 
705.0, {'J01': -25}, {'J01': 7}, {'J01': 25}, 
710.0, {'J01': -28}, {'J01': 8}, {'J01': 28}, 
715.0, {'J01': -27}, {'J01': 7}, {'J01': 27}, 
720.0, {'J01': -21}, {'J01': 5}, {'J01': 21}, 
725.0, {'J01': -16}, {'J01': 4}, {'J01': 16}, 
730.0, {'J01': -13}, {'J01': 4}, {'J01': 13}, 
735.0, {'J01': -16}, {'J01': 5}, {'J01': 16}, 
740.0, {'J01': -19}, {'J01': 5}, {'J01': 19}, 
745.0, {'J01': -16}, {'J01': 6}, {'J01': 16}, 
750.0, {'J01': -19}, {'J01': 6}, {'J01': 19}, 
755.0, {'J01': -24}, {'J01': 6}, {'J01': 24}, 
760.0, {'J01': -20}, {'J01': 7}, {'J01': 20}, 
765.0, {'J01': -19}, {'J01': 7}, {'J01': 19}, 
770.0, {'J01': -29}, {'J01': 7}, {'J01': 29}, 
775.0, {'J01': -26}, {'J01': 7}, {'J01': 26}, 
780.0, {'J01': -25}, {'J01': 7}, {'J01': 25}, 
785.0, {'J01': -21}, {'J01': 8}, {'J01': 21}, 
790.0, {'J01': -23}, {'J01': 8}, {'J01': 23}, 
795.0, {'J01': -29}, {'J01': 8}, {'J01': 29}, 
