5.0, {'J01': -0.0, 'top_mgr': 0}, {'J01': 0}, {'J01': 0}, 
10.0, {'J01': -1.8, 'top_mgr': 0}, {'J01': 1}, {'J01': 1}, 
15.0, {'J01': -13.200000000000001, 'top_mgr': 2}, {'J01': 3}, {'J01': 6}, 
20.0, {'J01': -32.2, 'top_mgr': 0}, {'J01': 4}, {'J01': 9}, 
25.0, {'J01': -51.400000000000006, 'top_mgr': 1}, {'J01': 4}, {'J01': 12}, 
30.0, {'J01': -56.400000000000006, 'top_mgr': 4}, {'J01': 4}, {'J01': 9}, 
35.0, {'J01': -35.6, 'top_mgr': 6}, {'J01': 3}, {'J01': 7}, 
40.0, {'J01': -59.00000000000001, 'top_mgr': 0}, {'J01': 3}, {'J01': 13}, 
45.0, {'J01': -97.00000000000001, 'top_mgr': 0}, {'J01': 5}, {'J01': 22}, 
50.0, {'J01': -98.80000000000001, 'top_mgr': 7}, {'J01': 4}, {'J01': 18}, 
55.0, {'J01': -139.6, 'top_mgr': 1}, {'J01': 4}, {'J01': 21}, 
60.0, {'J01': -192.60000000000002, 'top_mgr': 0}, {'J01': 5}, {'J01': 30}, 
65.0, {'J01': -174.8, 'top_mgr': 9}, {'J01': 4}, {'J01': 25}, 
70.0, {'J01': -166.60000000000002, 'top_mgr': 8}, {'J01': 4}, {'J01': 17}, 
75.0, {'J01': -195.40000000000003, 'top_mgr': 11}, {'J01': 4}, {'J01': 16}, 
80.0, {'J01': -208.8, 'top_mgr': 8}, {'J01': 4}, {'J01': 15}, 
85.0, {'J01': -204.20000000000002, 'top_mgr': 7}, {'J01': 3}, {'J01': 14}, 
90.0, {'J01': -160.6, 'top_mgr': 6}, {'J01': 3}, {'J01': 17}, 
95.0, {'J01': -211.6, 'top_mgr': 1}, {'J01': 6}, {'J01': 28}, 
100.0, {'J01': -243.79999999999998, 'top_mgr': 2}, {'J01': 8}, {'J01': 33}, 
105.0, {'J01': -245.79999999999998, 'top_mgr': 1}, {'J01': 8}, {'J01': 36}, 
110.0, {'J01': -284.59999999999997, 'top_mgr': 4}, {'J01': 8}, {'J01': 36}, 
115.0, {'J01': -236.39999999999998, 'top_mgr': 4}, {'J01': 8}, {'J01': 35}, 
120.0, {'J01': -281.6, 'top_mgr': 1}, {'J01': 8}, {'J01': 38}, 
125.0, {'J01': -332.59999999999997, 'top_mgr': 0}, {'J01': 8}, {'J01': 41}, 
130.0, {'J01': -324.40000000000003, 'top_mgr': 6}, {'J01': 7}, {'J01': 36}, 
135.0, {'J01': -276.40000000000003, 'top_mgr': 11}, {'J01': 5}, {'J01': 25}, 
140.0, {'J01': -290.00000000000006, 'top_mgr': 13}, {'J01': 4}, {'J01': 19}, 
145.0, {'J01': -249.60000000000002, 'top_mgr': 9}, {'J01': 4}, {'J01': 18}, 
150.0, {'J01': -279.6, 'top_mgr': 7}, {'J01': 5}, {'J01': 20}, 
155.0, {'J01': -307.6, 'top_mgr': 7}, {'J01': 5}, {'J01': 20}, 
160.0, {'J01': -336.6, 'top_mgr': 5}, {'J01': 5}, {'J01': 21}, 
165.0, {'J01': -255.8, 'top_mgr': 10}, {'J01': 3}, {'J01': 16}, 
170.0, {'J01': -276.0, 'top_mgr': 3}, {'J01': 5}, {'J01': 22}, 
175.0, {'J01': -326.40000000000003, 'top_mgr': 1}, {'J01': 7}, {'J01': 32}, 
180.0, {'J01': -217.8, 'top_mgr': 9}, {'J01': 9}, {'J01': 34}, 
185.0, {'J01': -250.8, 'top_mgr': 2}, {'J01': 9}, {'J01': 35}, 
190.0, {'J01': -287.20000000000005, 'top_mgr': 1}, {'J01': 9}, {'J01': 38}, 
195.0, {'J01': -285.6, 'top_mgr': 5}, {'J01': 9}, {'J01': 37}, 
200.0, {'J01': -284.8, 'top_mgr': 9}, {'J01': 9}, {'J01': 34}, 
205.0, {'J01': -311.2, 'top_mgr': 6}, {'J01': 8}, {'J01': 32}, 
210.0, {'J01': -356.20000000000005, 'top_mgr': 1}, {'J01': 8}, {'J01': 36}, 
215.0, {'J01': -379.20000000000005, 'top_mgr': 7}, {'J01': 6}, {'J01': 29}, 
220.0, {'J01': -325.8, 'top_mgr': 14}, {'J01': 4}, {'J01': 17}, 
225.0, {'J01': -315.20000000000005, 'top_mgr': 7}, {'J01': 4}, {'J01': 16}, 
230.0, {'J01': -257.8, 'top_mgr': 3}, {'J01': 4}, {'J01': 21}, 
235.0, {'J01': -253.4, 'top_mgr': 1}, {'J01': 7}, {'J01': 29}, 
240.0, {'J01': -297.59999999999997, 'top_mgr': 1}, {'J01': 8}, {'J01': 34}, 
245.0, {'J01': -342.2, 'top_mgr': 1}, {'J01': 8}, {'J01': 38}, 
250.0, {'J01': -286.40000000000003, 'top_mgr': 5}, {'J01': 8}, {'J01': 36}, 
255.0, {'J01': -323.6, 'top_mgr': 0}, {'J01': 8}, {'J01': 37}, 
260.0, {'J01': -343.59999999999997, 'top_mgr': 4}, {'J01': 8}, {'J01': 35}, 
265.0, {'J01': -352.8000000000001, 'top_mgr': 7}, {'J01': 8}, {'J01': 28}, 
270.0, {'J01': -335.80000000000007, 'top_mgr': 1}, {'J01': 8}, {'J01': 31}, 
275.0, {'J01': -388.80000000000007, 'top_mgr': 0}, {'J01': 8}, {'J01': 40}, 
280.0, {'J01': -274.4, 'top_mgr': 11}, {'J01': 6}, {'J01': 35}, 
285.0, {'J01': -283.0, 'top_mgr': 10}, {'J01': 4}, {'J01': 25}, 
290.0, {'J01': -268.8, 'top_mgr': 8}, {'J01': 4}, {'J01': 21}, 
295.0, {'J01': -253.6, 'top_mgr': 9}, {'J01': 4}, {'J01': 20}, 
300.0, {'J01': -241.0, 'top_mgr': 5}, {'J01': 4}, {'J01': 20}, 
305.0, {'J01': -287.2, 'top_mgr': 6}, {'J01': 4}, {'J01': 23}, 
310.0, {'J01': -292.6, 'top_mgr': 4}, {'J01': 6}, {'J01': 31}, 
315.0, {'J01': -353.2000000000001, 'top_mgr': 2}, {'J01': 8}, {'J01': 39}, 
320.0, {'J01': -405.6000000000001, 'top_mgr': 1}, {'J01': 8}, {'J01': 40}, 
325.0, {'J01': -364.6000000000001, 'top_mgr': 5}, {'J01': 8}, {'J01': 43}, 
330.0, {'J01': -322.20000000000005, 'top_mgr': 5}, {'J01': 8}, {'J01': 41}, 
335.0, {'J01': -292.20000000000005, 'top_mgr': 6}, {'J01': 8}, {'J01': 38}, 
340.0, {'J01': -287.40000000000003, 'top_mgr': 2}, {'J01': 10}, {'J01': 42}, 
345.0, {'J01': -324.40000000000003, 'top_mgr': 0}, {'J01': 10}, {'J01': 43}, 
350.0, {'J01': -327.6, 'top_mgr': 2}, {'J01': 10}, {'J01': 43}, 
355.0, {'J01': -326.6, 'top_mgr': 6}, {'J01': 9}, {'J01': 38}, 
360.0, {'J01': -300.20000000000005, 'top_mgr': 9}, {'J01': 6}, {'J01': 29}, 
365.0, {'J01': -252.40000000000003, 'top_mgr': 13}, {'J01': 5}, {'J01': 18}, 
370.0, {'J01': -258.40000000000003, 'top_mgr': 11}, {'J01': 5}, {'J01': 13}, 
375.0, {'J01': -182.40000000000003, 'top_mgr': 8}, {'J01': 5}, {'J01': 11}, 
380.0, {'J01': -198.40000000000003, 'top_mgr': 7}, {'J01': 5}, {'J01': 11}, 
385.0, {'J01': -215.80000000000004, 'top_mgr': 6}, {'J01': 5}, {'J01': 12}, 
390.0, {'J01': -233.80000000000004, 'top_mgr': 6}, {'J01': 4}, {'J01': 13}, 
395.0, {'J01': -167.6, 'top_mgr': 5}, {'J01': 3}, {'J01': 14}, 
400.0, {'J01': -156.0, 'top_mgr': 3}, {'J01': 6}, {'J01': 20}, 
405.0, {'J01': -192.60000000000002, 'top_mgr': 2}, {'J01': 8}, {'J01': 27}, 
410.0, {'J01': -232.8, 'top_mgr': 2}, {'J01': 8}, {'J01': 31}, 
415.0, {'J01': -234.59999999999997, 'top_mgr': 6}, {'J01': 8}, {'J01': 32}, 
420.0, {'J01': -237.59999999999997, 'top_mgr': 9}, {'J01': 7}, {'J01': 28}, 
425.0, {'J01': -257.79999999999995, 'top_mgr': 12}, {'J01': 5}, {'J01': 23}, 
430.0, {'J01': -189.99999999999997, 'top_mgr': 3}, {'J01': 5}, {'J01': 22}, 
