340.0, {'J01': -166.2, 'top_mgr': 2}, {'J01': 4}, {'J01': 24}, 
345.0, {'J01': -187.6, 'top_mgr': 6}, {'J01': 6}, {'J01': 23}, 
350.0, {'J01': -210.20000000000002, 'top_mgr': 4}, {'J01': 6}, {'J01': 22}, 
355.0, {'J01': -247.8, 'top_mgr': 1}, {'J01': 6}, {'J01': 27}, 
360.0, {'J01': -293.2, 'top_mgr': 0}, {'J01': 7}, {'J01': 35}, 
365.0, {'J01': -340.0, 'top_mgr': 0}, {'J01': 8}, {'J01': 40}, 
370.0, {'J01': -386.0, 'top_mgr': 0}, {'J01': 8}, {'J01': 42}, 
375.0, {'J01': -430.00000000000006, 'top_mgr': 0}, {'J01': 8}, {'J01': 42}, 
380.0, {'J01': -364.2, 'top_mgr': 6}, {'J01': 8}, {'J01': 36}, 
385.0, {'J01': -373.8, 'top_mgr': 3}, {'J01': 8}, {'J01': 35}, 
390.0, {'J01': -375.6, 'top_mgr': 6}, {'J01': 7}, {'J01': 32}, 
395.0, {'J01': -269.40000000000003, 'top_mgr': 11}, {'J01': 6}, {'J01': 25}, 
400.0, {'J01': -245.79999999999998, 'top_mgr': 10}, {'J01': 4}, {'J01': 18}, 
405.0, {'J01': -266.2, 'top_mgr': 5}, {'J01': 4}, {'J01': 17}, 
410.0, {'J01': -261.4, 'top_mgr': 5}, {'J01': 4}, {'J01': 17}, 
415.0, {'J01': -308.20000000000005, 'top_mgr': 3}, {'J01': 5}, {'J01': 26}, 
420.0, {'J01': -352.20000000000005, 'top_mgr': 2}, {'J01': 8}, {'J01': 36}, 
425.0, {'J01': -305.2, 'top_mgr': 3}, {'J01': 8}, {'J01': 36}, 
430.0, {'J01': -354.6, 'top_mgr': 1}, {'J01': 8}, {'J01': 38}, 
435.0, {'J01': -272.20000000000005, 'top_mgr': 7}, {'J01': 8}, {'J01': 35}, 
440.0, {'J01': -259.6, 'top_mgr': 2}, {'J01': 8}, {'J01': 35}, 
445.0, {'J01': -300.6, 'top_mgr': 0}, {'J01': 8}, {'J01': 40}, 
450.0, {'J01': -338.4, 'top_mgr': 0}, {'J01': 8}, {'J01': 41}, 
455.0, {'J01': -312.2, 'top_mgr': 7}, {'J01': 7}, {'J01': 37}, 
460.0, {'J01': -211.00000000000003, 'top_mgr': 13}, {'J01': 5}, {'J01': 25}, 
465.0, {'J01': -208.4, 'top_mgr': 11}, {'J01': 4}, {'J01': 19}, 
470.0, {'J01': -155.0, 'top_mgr': 8}, {'J01': 5}, {'J01': 16}, 
475.0, {'J01': -161.8, 'top_mgr': 5}, {'J01': 4}, {'J01': 17}, 
480.0, {'J01': -197.60000000000002, 'top_mgr': 5}, {'J01': 4}, {'J01': 20}, 
485.0, {'J01': -234.00000000000003, 'top_mgr': 2}, {'J01': 5}, {'J01': 26}, 
490.0, {'J01': -258.8, 'top_mgr': 3}, {'J01': 8}, {'J01': 34}, 
495.0, {'J01': -301.40000000000003, 'top_mgr': 1}, {'J01': 8}, {'J01': 38}, 
500.0, {'J01': -347.40000000000003, 'top_mgr': 0}, {'J01': 8}, {'J01': 40}, 
505.0, {'J01': -296.8, 'top_mgr': 4}, {'J01': 8}, {'J01': 39}, 
510.0, {'J01': -237.39999999999998, 'top_mgr': 3}, {'J01': 9}, {'J01': 42}, 
515.0, {'J01': -249.2, 'top_mgr': 4}, {'J01': 9}, {'J01': 41}, 
520.0, {'J01': -274.8, 'top_mgr': 4}, {'J01': 10}, {'J01': 42}, 
525.0, {'J01': -233.4, 'top_mgr': 6}, {'J01': 10}, {'J01': 39}, 
530.0, {'J01': -245.6, 'top_mgr': 8}, {'J01': 8}, {'J01': 35}, 
535.0, {'J01': -270.2, 'top_mgr': 8}, {'J01': 7}, {'J01': 30}, 
540.0, {'J01': -296.8, 'top_mgr': 8}, {'J01': 8}, {'J01': 27}, 
545.0, {'J01': -328.0, 'top_mgr': 6}, {'J01': 9}, {'J01': 25}, 
550.0, {'J01': -266.20000000000005, 'top_mgr': 6}, {'J01': 9}, {'J01': 24}, 
555.0, {'J01': -276.0, 'top_mgr': 5}, {'J01': 7}, {'J01': 24}, 
560.0, {'J01': -266.59999999999997, 'top_mgr': 5}, {'J01': 6}, {'J01': 26}, 
565.0, {'J01': -315.20000000000005, 'top_mgr': 1}, {'J01': 7}, {'J01': 38}, 
570.0, {'J01': -366.00000000000006, 'top_mgr': 0}, {'J01': 8}, {'J01': 44}, 
575.0, {'J01': -382.6000000000001, 'top_mgr': 6}, {'J01': 8}, {'J01': 41}, 
580.0, {'J01': -286.40000000000003, 'top_mgr': 4}, {'J01': 8}, {'J01': 41}, 
585.0, {'J01': -277.4, 'top_mgr': 2}, {'J01': 8}, {'J01': 45}, 
